NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H4,356,2011,030221,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030222,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030223,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030224,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030229,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030231,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030232,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030233,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030234,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030235,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030236,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030239,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030241,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030242,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030243,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030244,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030245,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,356,2011,030246,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030247,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030251,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030252,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,356,2011,030253,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030254,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030255,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030256,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030259,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030271,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030272,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030273,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030274,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030279,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030281,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030282,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030283,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030284,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030285,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030289,    120.00,     30.00,     30.00,     30.00,0,0,0,4,4,4
H4,356,2011,030290,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030311,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030312,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030313,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030314,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030319,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030323,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030324,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030325,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030326,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030329,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030331,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,356,2011,030332,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030333,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030334,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030339,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030341,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030342,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030343,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,356,2011,030344,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,356,2011,030345,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030346,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030349,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030351,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030353,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030354,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030355,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030356,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030357,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030363,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030364,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030365,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030366,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030367,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030368,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030369,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030381,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2011,030382,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030383,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030384,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030389,    330.00,     30.00,     30.00,     30.00,0,0,0,11,11,11
H4,356,2011,030390,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2011,030431,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030432,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030433,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,356,2011,030439,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030441,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030442,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030443,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030444,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030445,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030446,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030449,    150.00,     30.00,     30.00,     30.00,0,0,0,5,5,5
H4,356,2011,030451,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030452,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030453,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030454,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030455,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030459,    150.00,     30.00,     30.00,     30.00,0,0,0,5,5,5
H4,356,2011,030461,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030462,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030463,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030469,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030471,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030472,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030473,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030474,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030475,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030479,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030481,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030482,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030483,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030484,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030485,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030486,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030487,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030489,    120.00,     30.00,     30.00,     30.00,0,0,0,4,4,4
H4,356,2011,030491,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030492,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030493,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030494,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030495,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030499,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030510,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030520,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,356,2011,030531,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030532,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030539,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030541,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030542,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030543,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030544,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030549,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030551,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030559,    120.00,     30.00,     30.00,     30.00,0,0,0,4,4,4
H4,356,2011,030561,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030562,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,356,2011,030563,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030564,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030569,    120.00,     30.00,     30.00,     30.00,0,0,0,4,4,4
H4,356,2011,030571,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030572,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030579,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030611,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030612,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2011,030614,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030615,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030616,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2011,030617,      0.00,      0.00,      0.00,      0.00,0,3,0,0,3,3
H4,356,2011,030619,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030621,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030622,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030624,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030625,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030626,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030627,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2011,030629,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030711,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030719,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030721,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030729,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030731,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030739,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2011,030741,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2011,030749,    120.00,     30.00,     30.00,     30.00,0,0,0,4,4,4
H4,356,2011,030751,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030759,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030760,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030771,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030779,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030781,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030789,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030791,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030799,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030811,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030819,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030821,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,030829,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,356,2011,030830,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2011,030890,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,040110,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,040120,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,040140,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,356,2011,040150,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,040210,    180.00,     60.00,     60.00,     60.00,0,0,0,3,3,3
H4,356,2011,040221,     60.00,     60.00,     60.00,     60.00,0,0,0,1,1,1
H4,356,2011,040229,     90.00,     30.00,     30.00,     30.00,0,0,0,3,3,3
H4,356,2011,040291,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2011,040299,     90.00,     30.00,     30.00,     30.00,0,0,0,3,3,3
H4,356,2011,040310,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,040390,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2011,040410,     90.00,     30.00,     30.00,     30.00,0,0,0,3,3,3
H4,356,2011,040490,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,040510,     40.00,     40.00,     40.00,     40.00,0,0,0,1,1,1
H4,356,2011,040520,     40.00,     40.00,     40.00,     40.00,0,0,0,1,1,1
H4,356,2011,040590,    120.00,     40.00,     40.00,     40.00,0,0,0,3,3,3
H4,356,2011,040610,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,040620,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,040630,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,040640,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,040690,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,040711,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,040719,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2011,040721,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,040729,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,040790,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,040811,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
